Item,Category,Color,Fit,Occasion,Season,Brand,Notes
Black T-shirt,Top,Black,Regular,Casual/Office,All,Unknown,Full wrist length; core layer
Black T-shirt 2nd,Top,Black,Regular,Casual/Office,All,Unknown,Full wrist length; core layer
Blue T-shirt,Top,Blue,Regular,Casual,All,Unknown,Mid-blue; avoid as standalone office piece
V-neck black T-shirt,Top,Black,Regular,Casual/Office,All,Unknown,Good layering piece
Long-sleeved black T-shirt,Top,Black,Regular,Casual/Office,All,Unknown,Good for cold office
Long-sleeved purple T-shirt,Top,Light purple,Regular,Casual,All,Unknown,Avoid near face — fights warm complexion
Green T-shirt,Top,Olive green,Regular,Casual/Office,All,Uniqlo,New; works well on warm skin
Navy blue turtleneck,Top,Navy,Slim,Office/Smart casual,All,Unknown,New; best office piece you own
Denim blue overshirt,Top,Denim blue,Regular,Casual/Office,All,Uniqlo,Wear open as layer over black tee only
Navy blue overshirt,Top,Dark navy,Regular,Casual/Office,All,Amazon,Best overshirt for office
Dark navy overshirt,Top,Dark navy,Regular,Casual/Office,All,Unknown,Wear open; pairs with black or navy base
Green overshirt,Top,Olive green,Regular,Casual/Weekend,All,Paul & Jones,Good colour; wear over black tee only
Green shirt,Top,Green,Slim,Office/Smart casual,All,Unknown,New; button-down
Denim blue shirt,Top,Denim blue,Slim,Casual/Smart casual,All,Unknown,New
Black pants,Bottom,Black,Slim-straight,Office/Casual,All,Unknown,Foundation piece
Navy blue pants,Bottom,Navy,Slim-straight,Office/Casual,All,Unknown,Foundation piece
Green pants,Bottom,Olive green,Slim-straight,Casual,All,Unknown,Use sparingly
Navy blue stretch pants,Bottom,Navy,Slim-straight,Office/Casual,All,Uniqlo,New; best-fitting pants you own
Maroon bomber jacket,Outerwear,Maroon,Regular,Casual,All,Unknown,AVOID as primary outerwear — waist-length cuts at widest point
White sneakers,Shoes,White,Clean,Casual/Smart casual,All,Unknown,Works with dark monochromatic looks
